image,VLB_BPD
0.png,2.071385622024536
1.png,1.936668038368225
10.png,2.1143269538879395
100.png,1.3001927137374878
1000.png,2.3510987758636475
10000.png,1.8021827936172485
10001.png,2.0557148456573486
10002.png,2.052612543106079
10003.png,2.299598217010498
10004.png,1.6101027727127075
10005.png,1.4514858722686768
10006.png,1.4090646505355835
10007.png,1.822844386100769
10008.png,1.9939757585525513
10009.png,1.798682689666748
1001.png,0.9702722430229187
10010.png,1.9073526859283447
10011.png,2.060359001159668
10012.png,1.3757542371749878
10013.png,2.6501855850219727
10014.png,2.1785125732421875
10015.png,2.6620869636535645
10016.png,1.8678109645843506
10017.png,1.2771137952804565
10018.png,1.7210042476654053
10019.png,2.24013614654541
1002.png,2.184885263442993
10020.png,2.1591315269470215
10021.png,1.810788631439209
10022.png,1.9139750003814697
10023.png,2.1197452545166016
10024.png,1.8152406215667725
10025.png,0.9285796284675598
10026.png,2.1558687686920166
10027.png,1.79531729221344
10028.png,1.4033278226852417
10029.png,1.9851255416870117
1003.png,1.5667768716812134
10030.png,2.137507677078247
10031.png,0.799363911151886
10032.png,2.1793322563171387
10033.png,0.9540751576423645
10034.png,2.1935958862304688
10035.png,1.6934125423431396
10036.png,1.7908130884170532
10037.png,2.531956911087036
10038.png,2.0492446422576904
10039.png,2.189401149749756
1004.png,1.6115798950195312
10040.png,1.6769686937332153
10041.png,2.2521989345550537
10042.png,1.7605526447296143
10043.png,1.8526171445846558
10044.png,1.5312689542770386
10045.png,2.2987945079803467
10046.png,1.7780483961105347
10047.png,1.8084564208984375
10048.png,1.5514194965362549
10049.png,1.889132022857666
1005.png,2.604990243911743
10050.png,1.5224746465682983
10051.png,2.096986770629883
10052.png,1.3998626470565796
10053.png,1.8414579629898071
10054.png,2.085444211959839
10055.png,1.413840889930725
10056.png,2.399923086166382
10057.png,2.3573100566864014
10058.png,1.8362064361572266
10059.png,2.176300048828125
1006.png,1.0530452728271484
10060.png,1.9689239263534546
10061.png,1.156723141670227
10062.png,0.9478376507759094
10063.png,1.942694902420044
10064.png,1.5435550212860107
10065.png,1.0919129848480225
10066.png,1.618406891822815
10067.png,1.950551986694336
10068.png,1.0729396343231201
10069.png,1.921586036682129
1007.png,1.9412002563476562
10070.png,2.751671075820923
10071.png,1.7318859100341797
10072.png,2.223816156387329
10073.png,1.8345820903778076
10074.png,2.772160291671753
10075.png,1.1187334060668945
10076.png,2.073469400405884
10077.png,1.486709713935852
10078.png,1.9094691276550293
10079.png,2.115422487258911
1008.png,1.2619928121566772
10080.png,2.161740779876709
10081.png,1.5835624933242798
10082.png,1.506021499633789
10083.png,2.4771173000335693
10084.png,1.5623699426651
10085.png,1.747504711151123
10086.png,2.260023593902588
10087.png,1.676389455795288
10088.png,1.436572790145874
10089.png,1.4758700132369995
1009.png,2.1604816913604736
10090.png,2.177079439163208
10091.png,1.034090518951416
10092.png,1.3716105222702026
10093.png,1.950883388519287
10094.png,1.9013293981552124
10095.png,1.4920728206634521
10096.png,1.2832956314086914
10097.png,1.4941807985305786
10098.png,2.146885633468628
10099.png,1.065717339515686
101.png,2.3558390140533447
1010.png,1.2713243961334229
10100.png,0.9294473528862
10101.png,1.995377779006958
10102.png,2.038656234741211
10103.png,0.6118856072425842
10104.png,1.3416862487792969
10105.png,1.0505424737930298
10106.png,1.46433687210083
10107.png,2.217019557952881
10108.png,1.3655132055282593
10109.png,1.5533970594406128
1011.png,2.2818093299865723
10110.png,2.064512252807617
10111.png,1.6651071310043335
10112.png,2.2269210815429688
10113.png,2.0572569370269775
10114.png,2.1936657428741455
10115.png,2.55051326751709
10116.png,1.1166929006576538
10117.png,1.2760580778121948
10118.png,2.4064409732818604
10119.png,1.233186960220337
1012.png,1.8665539026260376
10120.png,2.218949556350708
10121.png,2.298572063446045
10122.png,1.2993223667144775
10123.png,1.4382646083831787
10124.png,1.747824788093567
10125.png,1.987860083580017
10126.png,1.5154684782028198
10127.png,1.5366955995559692
10128.png,1.5683921575546265
10129.png,1.189508080482483
1013.png,1.692636251449585
10130.png,2.199634313583374
10131.png,2.0381016731262207
10132.png,1.7301799058914185
10133.png,2.0280165672302246
10134.png,1.7418261766433716
10135.png,1.435124158859253
10136.png,1.204858660697937
10137.png,1.9713236093521118
10138.png,1.2919989824295044
10139.png,2.288780450820923
1014.png,1.7134430408477783
10140.png,1.1943767070770264
10141.png,2.2404561042785645
10142.png,1.8929789066314697
10143.png,1.547163963317871
10144.png,1.7808418273925781
10145.png,1.8659435510635376
10146.png,1.169084906578064
10147.png,1.7432255744934082
10148.png,1.3401248455047607
10149.png,2.421576738357544
1015.png,2.18573260307312
10150.png,1.594761848449707
10151.png,1.7367899417877197
10152.png,1.7867356538772583
10153.png,1.3754905462265015
10154.png,1.6724261045455933
10155.png,2.580353260040283
10156.png,1.5502034425735474
10157.png,2.432922124862671
10158.png,2.4740095138549805
10159.png,1.980110764503479
1016.png,2.2034027576446533
10160.png,1.781258225440979
10161.png,1.9599071741104126
10162.png,1.7345528602600098
10163.png,2.6336259841918945
10164.png,1.3814082145690918
10165.png,2.015610456466675
10166.png,1.9593837261199951
10167.png,1.5368517637252808
10168.png,2.2461111545562744
10169.png,1.1382125616073608
1017.png,2.2045230865478516
10170.png,2.0837759971618652
10171.png,1.010459303855896
10172.png,1.2700159549713135
10173.png,1.2796908617019653
10174.png,1.2813891172409058
10175.png,2.329740524291992
10176.png,1.8755477666854858
10177.png,0.9686952829360962
10178.png,2.223357677459717
10179.png,1.924558162689209
1018.png,2.0435662269592285
10180.png,1.2186168432235718
10181.png,1.6546432971954346
10182.png,2.330746650695801
10183.png,1.3759303092956543
10184.png,1.42816960811615
10185.png,1.6586644649505615
10186.png,1.8683397769927979
10187.png,2.130729913711548
10188.png,1.046964168548584
10189.png,1.1088416576385498
1019.png,2.3409411907196045
10190.png,1.747705340385437
10191.png,1.3885765075683594
10192.png,1.0079203844070435
10193.png,2.092968225479126
10194.png,1.888912320137024
10195.png,1.9895744323730469
10196.png,2.4485695362091064
10197.png,1.856221318244934
10198.png,2.0891027450561523
10199.png,1.1705574989318848
102.png,1.7635762691497803
1020.png,1.8121051788330078
10200.png,2.066119909286499
10201.png,1.8961008787155151
10202.png,1.4321765899658203
10203.png,2.3176348209381104
10204.png,1.6426957845687866
10205.png,2.2291343212127686
10206.png,1.0902379751205444
10207.png,2.462480068206787
10208.png,2.165673017501831
10209.png,1.970413088798523
1021.png,1.7609727382659912
10210.png,1.6272659301757812
10211.png,1.650033950805664
10212.png,0.6663039922714233
10213.png,1.970937728881836
10214.png,2.0123953819274902
10215.png,2.3275864124298096
10216.png,1.6316111087799072
10217.png,1.6949926614761353
10218.png,2.4177987575531006
10219.png,1.9689475297927856
1022.png,2.20392107963562
10220.png,2.295478582382202
10221.png,1.1434611082077026
10222.png,2.1148860454559326
10223.png,1.908424735069275
10224.png,1.5206408500671387
10225.png,1.9294801950454712
10226.png,2.10770583152771
10227.png,1.9437041282653809
10228.png,1.5883522033691406
10229.png,1.3770804405212402
1023.png,1.6738927364349365
10230.png,2.2228620052337646
10231.png,2.2662510871887207
10232.png,1.756679654121399
10233.png,2.454472780227661
10234.png,1.99910569190979
10235.png,2.1410698890686035
10236.png,0.8706727027893066
10237.png,1.5666546821594238
10238.png,1.9721925258636475
10239.png,2.1622703075408936
1024.png,1.7194008827209473
10240.png,2.2200722694396973
10241.png,2.0887820720672607
10242.png,1.4677150249481201
10243.png,1.5363593101501465
10244.png,1.8045666217803955
10245.png,2.35952091217041
10246.png,1.9429247379302979
10247.png,1.6407328844070435
10248.png,2.1038460731506348
10249.png,2.5734055042266846
1025.png,1.4138857126235962
10250.png,1.7161858081817627
10251.png,2.2734293937683105
10252.png,1.0815017223358154
10253.png,2.0784876346588135
10254.png,1.9953248500823975
10255.png,2.080164670944214
10256.png,2.6373534202575684
10257.png,2.582923173904419
10258.png,2.8255839347839355
10259.png,1.929868221282959
1026.png,1.5212124586105347
10260.png,2.1052722930908203
10261.png,2.547168016433716
10262.png,1.5701617002487183
10263.png,2.145458459854126
10264.png,2.726734161376953
10265.png,1.4051289558410645
10266.png,1.9791231155395508
10267.png,2.4725911617279053
10268.png,1.6936951875686646
10269.png,1.1935458183288574
1027.png,1.9201780557632446
10270.png,1.631088376045227
10271.png,1.6869568824768066
10272.png,1.6949962377548218
10273.png,1.7889788150787354
10274.png,1.8535118103027344
10275.png,1.827734351158142
10276.png,1.2152947187423706
10277.png,2.1447629928588867
10278.png,1.9161641597747803
10279.png,2.2437076568603516
1028.png,2.20186185836792
10280.png,2.5334246158599854
10281.png,1.8149960041046143
10282.png,1.6564545631408691
10283.png,1.5860915184020996
10284.png,1.7597819566726685
10285.png,1.048907995223999
10286.png,1.3054460287094116
10287.png,2.206498384475708
10288.png,2.2615456581115723
10289.png,1.306492567062378
1029.png,1.5530182123184204
10290.png,2.6697802543640137
10291.png,1.2406092882156372
10292.png,2.226386070251465
10293.png,1.666202187538147
10294.png,2.147754192352295
10295.png,2.6584279537200928
10296.png,1.4630770683288574
10297.png,1.9340962171554565
10298.png,1.2177677154541016
10299.png,1.9527623653411865
103.png,1.391141414642334
1030.png,1.9368069171905518
10300.png,2.807471513748169
10301.png,2.1074860095977783
10302.png,2.300516366958618
10303.png,2.00612473487854
10304.png,1.0381354093551636
10305.png,1.8214081525802612
10306.png,1.9501644372940063
10307.png,1.7809268236160278
10308.png,1.9741822481155396
10309.png,2.125211238861084
1031.png,1.4548966884613037
10310.png,1.6540511846542358
10311.png,1.978796362876892
10312.png,2.121724843978882
10313.png,2.516554594039917
10314.png,1.523672342300415
10315.png,2.0020785331726074
10316.png,1.0117301940917969
10317.png,2.076551675796509
10318.png,1.6459554433822632
10319.png,1.0445588827133179
1032.png,0.9086357355117798
10320.png,1.518410086631775
10321.png,1.90894615650177
10322.png,1.387718677520752
10323.png,1.2427520751953125
10324.png,1.3237206935882568
10325.png,1.9037158489227295
10326.png,2.2242345809936523
10327.png,1.2441972494125366
10328.png,1.3683775663375854
10329.png,2.2772176265716553
1033.png,1.373806118965149
10330.png,1.8419537544250488
10331.png,2.196161985397339
10332.png,2.483558177947998
10333.png,1.3939708471298218
10334.png,2.427037239074707
10335.png,1.158526062965393
10336.png,1.411661982536316
10337.png,2.574056625366211
10338.png,2.0142834186553955
10339.png,1.9899992942810059
1034.png,1.7196441888809204
10340.png,2.8065881729125977
10341.png,2.426396131515503
10342.png,1.9723296165466309
10343.png,1.8791924715042114
10344.png,1.5016056299209595
10345.png,1.252480149269104
10346.png,1.1364225149154663
10347.png,2.268228769302368
10348.png,1.6282315254211426
10349.png,2.24721097946167
1035.png,2.0097908973693848
10350.png,1.9738554954528809
10351.png,1.5215814113616943
10352.png,1.4759420156478882
10353.png,2.019975423812866
10354.png,2.186525821685791
10355.png,2.033074140548706
10356.png,2.167330503463745
10357.png,2.1451375484466553
10358.png,1.2019041776657104
10359.png,2.3487179279327393
1036.png,2.263922691345215
10360.png,2.339102268218994
10361.png,1.729151725769043
10362.png,1.7501380443572998
10363.png,1.644892692565918
10364.png,1.9305144548416138
10365.png,1.8899928331375122
10366.png,2.1812005043029785
10367.png,1.6047884225845337
10368.png,1.4829044342041016
10369.png,1.8736807107925415
1037.png,1.5539379119873047
10370.png,2.2181177139282227
10371.png,1.3990751504898071
10372.png,1.5169124603271484
10373.png,0.9310417175292969
10374.png,1.6006276607513428
10375.png,1.4624180793762207
10376.png,1.4912757873535156
10377.png,2.2392406463623047
10378.png,2.1865317821502686
10379.png,2.100569009780884
1038.png,1.1639083623886108
10380.png,1.0274927616119385
10381.png,2.0567753314971924
10382.png,1.0317115783691406
10383.png,2.3512184619903564
10384.png,2.0308170318603516
10385.png,2.2072842121124268
10386.png,2.315429210662842
10387.png,1.9229098558425903
10388.png,2.099130392074585
10389.png,1.130067229270935
1039.png,1.2819534540176392
10390.png,1.3386170864105225
10391.png,2.2808165550231934
10392.png,1.0445772409439087
10393.png,1.86258065700531
10394.png,1.1522678136825562
10395.png,1.715502142906189
10396.png,1.7422780990600586
10397.png,1.4860633611679077
10398.png,1.2321211099624634
10399.png,1.7431583404541016
104.png,2.070443630218506
1040.png,2.173079252243042
10400.png,1.527186393737793
10401.png,0.9660820364952087
10402.png,1.571178913116455
10403.png,1.6152316331863403
10404.png,1.8365750312805176
10405.png,1.1628645658493042
10406.png,1.2764766216278076
10407.png,1.2067992687225342
10408.png,1.9388229846954346
10409.png,1.5151036977767944
1041.png,1.5877249240875244
10410.png,2.3841896057128906
10411.png,1.74591064453125
10412.png,0.9662236571311951
10413.png,1.346005916595459
10414.png,1.3076932430267334
10415.png,1.5708467960357666
10416.png,1.842455267906189
10417.png,2.48537015914917
10418.png,1.3817803859710693
10419.png,2.112607479095459
1042.png,1.8187137842178345
10420.png,1.9703091382980347
10421.png,1.8841453790664673
10422.png,2.4660401344299316
10423.png,2.271535873413086
10424.png,2.698763132095337
10425.png,1.9150696992874146
10426.png,1.4018863439559937
10427.png,1.8531426191329956
10428.png,3.004380941390991
10429.png,2.4576416015625
1043.png,1.5392601490020752
10430.png,1.9363384246826172
10431.png,2.2794668674468994
10432.png,3.113884449005127
10433.png,1.1478465795516968
10434.png,1.5814119577407837
10435.png,2.1366753578186035
10436.png,2.5471808910369873
10437.png,2.3671798706054688
10438.png,1.6012184619903564
10439.png,1.0744969844818115
1044.png,2.2240049839019775
10440.png,2.0621132850646973
10441.png,0.8073809146881104
10442.png,1.5611239671707153
10443.png,2.694737195968628
10444.png,1.9807336330413818
10445.png,1.685986876487732
10446.png,2.190624237060547
10447.png,1.6513434648513794
10448.png,1.8796699047088623
10449.png,2.2939696311950684
1045.png,2.2472784519195557
10450.png,2.5260233879089355
10451.png,2.278380870819092
10452.png,1.6400593519210815
10453.png,0.6665537357330322
10454.png,1.7029855251312256
10455.png,2.2446510791778564
10456.png,2.3674304485321045
10457.png,1.962000846862793
10458.png,1.6807496547698975
10459.png,1.0605896711349487
1046.png,1.7684979438781738
10460.png,2.0290987491607666
10461.png,1.6308720111846924
10462.png,2.7320926189422607
10463.png,2.247363805770874
10464.png,1.913949728012085
10465.png,1.9535046815872192
10466.png,1.2957444190979004
10467.png,1.6092040538787842
10468.png,1.1120526790618896
10469.png,1.8639938831329346
1047.png,1.9766708612442017
10470.png,2.0110385417938232
10471.png,1.9837671518325806
10472.png,1.520249366760254
10473.png,1.770165205001831
10474.png,1.2828693389892578
10475.png,2.2726669311523438
10476.png,2.3408374786376953
10477.png,1.2802129983901978
10478.png,2.072828531265259
10479.png,2.753934383392334
1048.png,1.5390456914901733
10480.png,2.640510082244873
10481.png,2.0238263607025146
10482.png,1.9168810844421387
10483.png,2.0806872844696045
10484.png,1.4404791593551636
10485.png,1.667845606803894
10486.png,1.2934215068817139
10487.png,2.408722162246704
10488.png,1.5791761875152588
10489.png,2.157508611679077
1049.png,2.427276372909546
10490.png,1.2299904823303223
10491.png,2.08069109916687
10492.png,2.147092819213867
10493.png,1.496209979057312
10494.png,2.1540451049804688
10495.png,2.2348861694335938
10496.png,2.429982900619507
10497.png,1.916678786277771
10498.png,0.9290421605110168
10499.png,1.5717698335647583
105.png,1.4346801042556763
1050.png,1.9922553300857544
10500.png,1.344093680381775
10501.png,1.487319827079773
10502.png,1.663511872291565
10503.png,1.9712952375411987
10504.png,2.796682596206665
10505.png,1.868166208267212
10506.png,2.3415262699127197
10507.png,1.6217468976974487
10508.png,2.153522253036499
10509.png,1.2225192785263062
1051.png,2.199233293533325
10510.png,1.8555680513381958
10511.png,1.474653959274292
10512.png,1.19218111038208
10513.png,1.4220690727233887
10514.png,1.561664342880249
10515.png,1.4375314712524414
10516.png,2.279129981994629
10517.png,2.0331685543060303
10518.png,2.395462989807129
10519.png,1.7143036127090454
1052.png,2.349803924560547
10520.png,1.2400290966033936
10521.png,2.0573079586029053
10522.png,2.607069730758667
10523.png,2.251755475997925
10524.png,1.377480387687683
10525.png,1.596890926361084
10526.png,2.46165132522583
10527.png,1.4205831289291382
10528.png,2.418391704559326
10529.png,2.033864974975586
1053.png,1.0112111568450928
10530.png,1.587679386138916
10531.png,1.269774079322815
10532.png,2.058884859085083
10533.png,1.9563467502593994
10534.png,1.7162011861801147
10535.png,1.704231858253479
10536.png,2.703935146331787
10537.png,1.4262057542800903
10538.png,1.4062831401824951
10539.png,2.3175547122955322
1054.png,1.5837823152542114
10540.png,1.952402114868164
10541.png,1.5255093574523926
10542.png,1.9119237661361694
10543.png,2.9783401489257812
10544.png,2.068331718444824
10545.png,1.0674635171890259
10546.png,3.340317964553833
10547.png,2.131240129470825
10548.png,1.676751971244812
10549.png,2.2539775371551514
1055.png,2.1826815605163574
10550.png,1.6374561786651611
10551.png,2.084691047668457
10552.png,1.3237639665603638
10553.png,2.0297789573669434
10554.png,2.205127716064453
10555.png,1.8952052593231201
10556.png,2.6659181118011475
10557.png,1.6388665437698364
10558.png,2.0922913551330566
10559.png,1.464073657989502
1056.png,1.5744554996490479
10560.png,1.8414679765701294
10561.png,2.0102009773254395
10562.png,1.1016770601272583
10563.png,1.6448513269424438
10564.png,1.2501155138015747
10565.png,1.8572720289230347
10566.png,1.7877885103225708
10567.png,2.2853331565856934
10568.png,2.2271618843078613
10569.png,2.4502756595611572
1057.png,2.947354316711426
10570.png,1.9643359184265137
10571.png,1.8689534664154053
10572.png,1.8019051551818848
10573.png,2.0702672004699707
10574.png,2.384305477142334
10575.png,1.3506425619125366
10576.png,2.853318214416504
10577.png,1.6306473016738892
10578.png,2.196474313735962
10579.png,2.0500502586364746
1058.png,2.282757043838501
10580.png,2.0415611267089844
10581.png,2.178025007247925
10582.png,1.468334674835205
10583.png,2.1874496936798096
10584.png,1.924778938293457
10585.png,3.0551774501800537
10586.png,1.9799858331680298
10587.png,1.6214790344238281
10588.png,2.3571531772613525
10589.png,2.0444695949554443
1059.png,2.8902170658111572
10590.png,1.1839900016784668
10591.png,1.5740984678268433
10592.png,1.6369677782058716
10593.png,2.2809150218963623
10594.png,2.111870050430298
10595.png,1.78304922580719
10596.png,2.029343366622925
10597.png,1.5221524238586426
10598.png,2.3576159477233887
10599.png,1.7163435220718384
106.png,2.1016902923583984
1060.png,2.1648612022399902
10600.png,2.6887307167053223
10601.png,2.1981537342071533
10602.png,1.2003620862960815
10603.png,2.145535707473755
10604.png,1.0975764989852905
10605.png,1.9916737079620361
10606.png,1.7711944580078125
10607.png,1.6294267177581787
10608.png,1.99932861328125
10609.png,1.6740520000457764
1061.png,1.4864792823791504
10610.png,2.6635384559631348
10611.png,2.1374807357788086
10612.png,1.6591479778289795
10613.png,1.7418792247772217
10614.png,1.5769864320755005
10615.png,1.0367388725280762
10616.png,2.0596017837524414
10617.png,1.918850302696228
10618.png,1.7594308853149414
10619.png,1.9634250402450562
1062.png,1.3310472965240479
10620.png,1.3519772291183472
10621.png,2.1196892261505127
10622.png,1.4736850261688232
10623.png,1.7388713359832764
10624.png,1.7184499502182007
10625.png,2.1158111095428467
10626.png,1.7931252717971802
10627.png,1.9960503578186035
10628.png,1.4087917804718018
10629.png,2.398240804672241
1063.png,2.0355377197265625
10630.png,2.242938995361328
10631.png,1.7763961553573608
10632.png,1.2479475736618042
10633.png,1.5345677137374878
10634.png,1.5969616174697876
10635.png,1.8065245151519775
10636.png,2.2453246116638184
10637.png,1.892530083656311
10638.png,1.5262190103530884
10639.png,3.0873801708221436
1064.png,1.3035765886306763
10640.png,1.788651466369629
10641.png,1.1222271919250488
10642.png,1.5930479764938354
10643.png,2.5060179233551025
10644.png,2.6212849617004395
10645.png,2.4174063205718994
10646.png,2.0851480960845947
10647.png,1.5142499208450317
10648.png,1.9744442701339722
10649.png,1.046911358833313
1065.png,1.3211435079574585
10650.png,1.408360242843628
10651.png,2.4554800987243652
10652.png,1.7424436807632446
10653.png,2.3597116470336914
