method,timestep,n,snr_mean_db,snr_std_db,snr_ci95_db
DDPM (r=0.0),0,50000,74.16149234719238,1.6816182349348892,0.014740033727229086
DDPM (r=0.0),10,50000,26.513984927935297,1.6845337987782913,0.01476558977109971
DDPM (r=0.0),20,50000,22.129015101045418,1.6766371720725954,0.014696372786200755
DDPM (r=0.0),30,50000,19.317943962144433,1.6684969842207429,0.014625020893726222
DDPM (r=0.0),40,50000,17.243307308417098,1.6619642108334394,0.014567758610253822
DDPM (r=0.0),50,50000,15.602117985251803,1.656669069537538,0.014521344650372463
DDPM (r=0.0),60,50000,14.248660735422488,1.6529281326227168,0.014488553892547435
DDPM (r=0.0),70,50000,13.100670724463539,1.6501196391534572,0.014463936361885851
DDPM (r=0.0),80,50000,12.10766746313241,1.6484840462468096,0.014449599757948552
DDPM (r=0.0),90,50000,11.235431034172272,1.6474783620107858,0.014440784546951206
DDPM (r=0.0),100,50000,10.460406714047913,1.6471875814586252,0.014438235743033035
DDPM (r=0.0),200,50000,5.713260729714153,1.6734236654150527,0.014668205158417694
DDPM (r=0.0),300,50000,3.5402763692421098,1.7219053239220046,0.015093165632024917
DDPM (r=0.0),400,50000,2.416526778591965,1.7662478859743305,0.015481845325563287
DDPM (r=0.0),500,50000,1.7947355743038058,1.7999884279492842,0.015777594215741722
DDPM (r=0.0),600,50000,1.442825248952558,1.8233601935330292,0.015982456773611542
DDPM (r=0.0),700,50000,1.2489318837464753,1.8380402007741936,0.016111132710489157
DDPM (r=0.0),800,50000,1.147203191206974,1.846821779220815,0.016188106639406216
DDPM (r=0.0),900,50000,1.0973368847082803,1.8517291362988064,0.01623112152074993
DDPM (r=0.0),1000,50000,1.0729096288239182,1.8538972882697395,0.01625012621070475
ISO diffusion (r=0.3),0,50000,74.04941598053331,1.7124410496070028,0.015010207609978803
ISO diffusion (r=0.3),10,50000,26.40700752709697,1.7110539055589917,0.014998048756305931
ISO diffusion (r=0.3),20,50000,22.035632326764414,1.7000800709329924,0.014901858854731434
ISO diffusion (r=0.3),30,50000,19.23097731253369,1.690588335880489,0.014818660128708317
ISO diffusion (r=0.3),40,50000,17.160042870763125,1.6834366935454337,0.014755973219733478
ISO diffusion (r=0.3),50,50000,15.521162802516905,1.6776489580939118,0.014705241481704356
ISO diffusion (r=0.3),60,50000,14.168926555615462,1.6736615887330908,0.01467029064825095
ISO diffusion (r=0.3),70,50000,13.02125683525828,1.6708460291248677,0.014645611180150486
ISO diffusion (r=0.3),80,50000,12.028195640945212,1.6693935711341779,0.014632879824528038
ISO diffusion (r=0.3),90,50000,11.155828578387192,1.6686711783693542,0.014626547772759927
ISO diffusion (r=0.3),100,50000,10.38058107925864,1.668762666069449,0.014627349697808675
ISO diffusion (r=0.3),200,50000,5.627654394574604,1.7026288678849404,0.014924200045053404
ISO diffusion (r=0.3),300,50000,3.447545789451823,1.7595568571026072,0.01542319587160867
ISO diffusion (r=0.3),400,50000,2.317432126288147,1.809423082563764,0.01586029260966558
ISO diffusion (r=0.3),500,50000,1.6913264666784884,1.8466622249223137,0.016186708084316614
ISO diffusion (r=0.3),600,50000,1.336996845740433,1.8721033175392934,0.01640970909336928
ISO diffusion (r=0.3),700,50000,1.1416199290940583,1.888076894360102,0.01654972366754064
ISO diffusion (r=0.3),800,50000,1.0386946826609473,1.897836438094862,0.016635269840164238
ISO diffusion (r=0.3),900,50000,0.9868303104314501,1.9032122514138037,0.016682390921505006
ISO diffusion (r=0.3),1000,50000,0.9548847056320388,1.9055753283279817,0.016703104203920363
