method,timestep,n,snr_mean_db,snr_std_db,snr_ci95_db
ddpm,0,50000,74.16149423370368,1.6816183389503607,0.014740034638964892
ddpm,10,50000,26.513985502529074,1.6845339223928686,0.014765590854629253
ddpm,20,50000,22.129015464534724,1.6766372959961502,0.014696373872438604
ddpm,30,50000,19.31794429579724,1.668497101347034,0.014625021920383431
ddpm,40,50000,17.243307738714186,1.661964330427714,0.014567759658543861
ddpm,50,50000,15.602118362936922,1.6566691873763821,0.014521345683275474
ddpm,60,50000,14.248660810210694,1.6529282611396112,0.014488555019047684
ddpm,70,50000,13.100670826914357,1.6501197621342607,0.014463937439860122
ddpm,80,50000,12.107667692396603,1.648484173211975,0.014449600870847295
ddpm,90,50000,11.235431283655462,1.647478480620175,0.014440785586608341
ddpm,100,50000,10.460406940351604,1.6471877005672508,0.014438236787066171
ddpm,200,50000,5.71326081802602,1.6734237904421656,0.014668206254328658
ddpm,300,50000,3.5402764053326417,1.7219054583721816,0.015093166810532679
ddpm,400,50000,2.4165265063040167,1.7662480058167151,0.015481846376028107
ddpm,500,50000,1.7947353244856834,1.7999885476694446,0.015777595265135193
ddpm,600,50000,1.4428250062545194,1.823360314408646,0.015982457833133037
ddpm,700,50000,1.2489316464270546,1.838040320217567,0.016111133757456486
ddpm,800,50000,1.1472029588567163,1.8468218957735354,0.016188107661035855
ddpm,900,50000,1.0973366550557966,1.851729248595194,0.016231122505071166
ddpm,1000,50000,1.0729093995110484,1.853897402377555,0.016250127210903853
iso,0,50000,74.04941785346989,1.7124411638086037,0.01501020861099997
iso,10,50000,26.407008087272658,1.7110540427156236,0.014998049958536817
iso,20,50000,22.035632689857394,1.7000801900768623,0.014901859899073498
iso,30,50000,19.23097763180732,1.6905884661057216,0.01481866127018281
iso,40,50000,17.160043305683153,1.683436820526714,0.014755974332773475
iso,50,50000,15.521163178567898,1.677649083940721,0.014705242584800274
iso,60,50000,14.168926621899665,1.673661717993335,0.014670291781266945
iso,70,50000,13.021256933812026,1.6708461528452365,0.014645612264607333
iso,80,50000,12.028195865052307,1.6693937101621341,0.014632881043161804
iso,90,50000,11.155828828288293,1.6686713046193515,0.014626548879389946
iso,100,50000,10.38058129505724,1.6687627905285807,0.014627350788741063
iso,200,50000,5.627654471596344,1.7026289999751199,0.014924201202874875
iso,300,50000,3.4475458176469633,1.7595569957897688,0.015423197087255239
iso,400,50000,2.317431847243326,1.809423208155591,0.015860293710526482
iso,500,50000,1.6913262094202777,1.8466623482620965,0.01618670916543748
iso,600,50000,1.3369965993050021,1.8721034438386843,0.01640971020043225
iso,700,50000,1.1416196863919468,1.8880770174082828,0.0165497247461055
iso,800,50000,1.0386944415541088,1.8978365574032174,0.016635270885948083
iso,900,50000,0.9868300745820594,1.9032123689765224,0.01668239195198767
iso,1000,50000,0.9548844667088556,1.905575447336586,0.016703105247076775
