image_index,r_theta
0,0.9945454001
1,0.9962826967
2,1.0112960339
3,0.9776064754
4,0.9975642562
5,0.9925772548
6,0.9991339445
7,0.9887118340
8,0.9867963195
9,0.9846677780
10,0.9798576236
11,1.0029673576
12,1.0006918907
13,0.9668862820
14,0.9909543991
15,0.9964097738
16,0.9927895069
17,0.9972890615
18,1.0124696493
19,0.9873590469
20,0.9817201495
21,1.0059112310
22,0.9921045303
23,1.0192568302
24,1.0071719885
25,1.0125564337
26,1.0018589497
27,0.9724752307
28,0.9895836711
29,0.9957153797
30,0.9949743152
31,0.9986121655
32,0.9920420647
33,0.9991312027
34,0.9896285534
35,0.9949755669
36,1.0065687895
37,1.0153857470
38,1.0094337463
39,0.9943557978
40,1.0051076412
41,0.9924569130
42,0.9890269637
43,0.9997586012
44,1.0137767792
45,0.9923875332
46,1.0112748146
47,0.9954997897
48,0.9894247055
49,0.9909276962
50,0.9800164104
51,0.9970016479
52,0.9915473461
53,0.9881930351
54,0.9887800217
55,0.9917135239
56,0.9868252277
57,0.9915792346
58,1.0014742613
59,0.9807535410
60,0.9843831062
61,0.9988899231
62,0.9597411156
63,0.9857847095
64,1.0076019764
65,0.9775778651
66,0.9853935242
67,1.0001443624
68,1.0036226511
69,0.9794726372
70,0.9902153015
71,0.9906768203
72,0.9889878631
73,0.9926342368
74,1.0070072412
75,1.0204186440
76,0.9879060984
77,1.0060901642
78,0.9954340458
79,1.0077142715
80,0.9992281199
81,0.9920460582
82,0.9872314334
83,1.0077607632
84,1.0005561113
85,1.0050275326
86,1.0013604164
87,0.9840334654
88,1.0061322451
89,1.0059468746
90,0.9994710684
91,1.0009192228
92,1.0048691034
93,1.0096899271
94,0.9781898856
95,0.9864470363
96,0.9876494408
97,0.9717463851
98,0.9894854426
99,0.9775695801
100,0.9966403842
101,0.9928848147
102,0.9970619082
103,1.0069882870
104,0.9692324400
105,1.0111545324
106,0.9988206625
107,1.0266246796
108,0.9982261062
109,0.9978787303
110,0.9843300581
111,0.9846002460
112,0.9979217052
113,0.9857449532
114,0.9979695678
115,0.9943572879
116,0.9919064045
117,1.0070981979
118,0.9896504283
119,0.9947811365
120,0.9928067923
121,0.9850696325
122,0.9939975142
123,0.9846999645
124,0.9687699080
125,1.0049607754
126,1.0024745464
127,0.9832729101
128,0.9954146147
129,1.0024504662
130,0.9919773936
131,0.9969558716
132,0.9836492538
133,0.9963595271
134,1.0047529936
135,0.9951696396
136,1.0138040781
137,1.0029690266
138,0.9890825152
139,1.0009974241
140,0.9951173067
141,0.9946452975
142,0.9965841174
143,0.9831128120
144,0.9892689586
145,0.9993486404
146,0.9914848208
147,0.9919886589
148,0.9894441962
149,1.0119022131
150,0.9927880168
151,0.9774798751
152,0.9987124205
153,0.9999848604
154,1.0089585781
155,0.9796193838
156,1.0009083748
157,0.9824292064
158,0.9939464331
159,0.9972168803
160,0.9782235026
161,0.9795546532
162,0.9958452582
163,1.0067707300
164,1.0121949911
165,1.0174214840
166,1.0090348721
167,0.9957413077
168,1.0077447891
169,0.9988295436
170,0.9798903465
171,0.9861463308
172,0.9886921644
173,0.9874871969
174,1.0009002686
175,1.0024476051
176,1.0166244507
177,0.9969868660
178,0.9791424274
179,0.9982768893
180,0.9803270102
181,0.9859620929
182,1.0037648678
183,1.0295859575
184,1.0172555447
185,0.9963302016
186,0.9894151092
187,0.9767755270
188,0.9898620844
189,0.9915704727
190,1.0044384003
