name,timestep,num_images,mean
r_Theta_1000,1000,10000,1.0084226131
r_Theta_900,900,10000,1.0014547110
r_Theta_800,800,10000,1.0001182556
r_Theta_700,700,10000,0.9992989302
r_Theta_600,600,10000,0.9983233213
r_Theta_500,500,10000,0.9975879192
r_Theta_400,400,10000,0.9962869883
r_Theta_300,300,10000,0.9938800931
r_Theta_200,200,10000,0.9898691177
r_Theta_150,150,10000,0.9873175621
r_Theta_140,140,10000,0.9865815639
r_Theta_130,130,10000,0.9857722521
r_Theta_120,120,10000,0.9846335649
r_Theta_110,110,10000,0.9835212827
r_Theta_100,100,10000,0.9818202853
r_Theta_90,90,10000,0.9799987078
r_Theta_80,80,10000,0.9778260589
r_Theta_70,70,10000,0.9750161171
r_Theta_60,60,10000,0.9713283181
r_Theta_50,50,10000,0.9666179419
r_Theta_40,40,10000,0.9593305588
r_Theta_30,30,10000,0.9491373897
r_Theta_20,20,10000,0.9316285253
r_Theta_10,10,10000,0.8982556462
r_Theta_0,0,10000,0.8407109380
