name,timestep,num_images,mean
r_Theta_1000,1000,10000,0.9994702339
r_Theta_900,900,10000,0.9995213151
r_Theta_800,800,10000,0.9996830821
r_Theta_700,700,10000,0.9985908270
r_Theta_600,600,10000,0.9964989424
r_Theta_500,500,10000,0.9932953119
r_Theta_400,400,10000,0.9876983166
r_Theta_300,300,10000,0.9815497994
r_Theta_200,200,10000,0.9697972536
r_Theta_150,150,10000,0.9601686597
r_Theta_140,140,10000,0.9570687413
r_Theta_130,130,10000,0.9543978572
r_Theta_120,120,10000,0.9509228468
r_Theta_110,110,10000,0.9468607306
r_Theta_100,100,10000,0.9428695440
r_Theta_90,90,10000,0.9376361370
r_Theta_80,80,10000,0.9314141870
r_Theta_70,70,10000,0.9242417812
r_Theta_60,60,10000,0.9153406024
r_Theta_50,50,10000,0.9032921195
r_Theta_40,40,10000,0.8879458904
r_Theta_30,30,10000,0.8668773174
r_Theta_20,20,10000,0.8330178857
r_Theta_10,10,10000,0.7686773539
r_Theta_0,0,10000,0.5460349321
