image_index,r_theta
0,0.9367945194
1,0.9165150523
2,0.9723682404
3,0.9299864769
4,0.9205508232
5,0.9448315501
6,0.9801430702
7,0.9285974503
8,0.9443554878
9,0.9637994170
10,0.9237290621
11,0.9950987697
12,0.9333120584
13,0.9478679895
14,0.9795268774
15,0.9208484888
16,0.9712705016
17,0.9355082512
18,0.9815434813
19,0.9512914419
20,0.9796950817
21,0.9226706028
22,0.9648861885
23,0.9575855732
24,0.9489070773
25,0.9606981277
26,0.9423832893
27,0.9128507376
28,0.9916470051
29,0.9647082090
30,0.9503065348
31,0.9512560368
32,0.9247919917
33,0.9335187674
34,0.9593057036
35,0.9317213297
36,0.9185080528
37,0.9991565943
38,0.9395105243
39,0.9432587624
40,0.9153075218
41,0.9520701170
42,0.9206253290
43,0.9832048416
44,0.9195603132
45,0.9789832830
46,0.8670317531
47,0.9689964056
48,0.9973418117
49,0.9705357552
50,0.9525616169
51,0.9900250435
52,0.9369132519
53,0.9330416918
54,0.9865610003
55,0.9526724219
56,0.9471828341
57,0.9157310724
58,0.9626855254
59,0.9447256923
60,0.8921620250
61,0.9437736273
62,0.9937380552
63,0.9457756877
64,0.9783713222
65,0.9869257808
66,1.0038592815
67,0.9585067630
68,0.9533765316
69,1.0200728178
70,0.9477288127
71,0.9841233492
72,0.9762999415
73,0.9170917869
74,0.9451624751
75,0.9398955703
76,0.9582099915
77,0.9815251231
78,0.9755176306
79,0.9614069462
80,0.9706961513
81,1.0104060173
82,0.9313831329
83,0.9402663112
84,0.9492060542
85,0.9279868603
86,0.9234328270
87,0.9464249611
88,0.9457246661
89,0.9300708175
90,0.9399894476
91,0.9188011885
92,0.9265176654
93,0.9766654968
94,0.9432009459
95,0.9541179538
96,0.9672386050
97,0.9668251872
98,0.9696205854
99,0.9596493244
100,0.9489609599
101,0.9288901091
102,1.0019452572
103,0.9823864698
104,0.9453937411
105,0.9680766463
106,1.0240793228
107,0.9345449209
108,0.9404398799
109,0.9753160477
110,0.9325923920
111,0.9180471301
112,0.9534336329
113,0.9759163857
114,0.9648655653
115,0.9385231733
116,0.9561971426
117,0.9369890690
118,0.9875129461
119,0.9374713898
120,0.9119876623
121,0.9238390923
122,0.9102059603
123,1.0068998337
124,0.9150606394
125,0.9257717133
126,0.9309728146
127,0.9449424148
128,0.9043066502
129,0.9008775949
130,0.9802135229
131,0.9491314292
132,0.9993362427
133,0.9625195861
134,0.9430105090
135,1.0208233595
136,0.9568295479
137,0.8972442150
138,0.9543072581
139,0.9295754433
140,0.9463891983
141,0.9801846743
142,0.9245125651
143,0.9647285342
144,0.9558590651
145,0.9104880095
146,0.9155589938
147,0.8977161646
148,0.9575254917
149,0.9177188873
150,0.9430588484
151,1.0046217442
152,0.8866502643
153,0.9638916850
154,0.9639753103
155,0.9278348684
156,0.9493793249
157,0.9546533823
158,0.9587249756
159,0.9339167476
160,0.9563819766
161,0.9388880730
162,0.9564903975
163,0.9274396896
164,0.8965966702
165,0.9654169083
166,0.9670202136
167,0.9434196353
168,0.9253368378
169,0.9779955745
170,0.9192500114
171,0.9325879812
172,0.9516657591
173,0.9386177063
174,0.9399814010
175,0.9351158142
176,0.9761630893
177,0.9422487617
178,0.9342799187
179,0.9335068464
180,0.9272949696
181,0.9678158760
182,0.9351549149
183,0.9648528099
184,0.8943447471
185,0.9759968519
186,0.9179161787
187,0.9232496023
188,1.0131379366
189,0.9476717710
190,0.9438807964
191,0.9437772632
192,0.9248048663
193,0.9590018988
194,0.9806002378
195,0.9825126529
196,0.9370721579
197,0.9467134476
198,0.9891642332
199,0.9989477992
200,0.9369060993
201,0.9157131910
202,0.9738420844
203,0.9852864146
204,0.9673532248
205,0.9532477260
206,0.9540094137
207,0.9222221375
208,0.9448541403
209,0.9735533595
210,0.9455628395
211,0.9612734318
212,0.9292187691
213,0.9345487356
214,0.9733157158
215,0.9462692142
216,0.9061554670
217,0.9117244482
218,0.9623581767
219,0.9160376787
220,0.9748159647
221,0.9165346026
222,0.9575139880
223,0.9192990661
224,0.9011338949
225,0.9299890995
226,0.9485701323
227,0.9637524486
228,0.9473425150
229,0.9353701472
230,0.9760891795
231,0.8911036849
232,0.9156619906
233,0.9576610327
234,0.9378144145
235,0.9900312424
236,0.9639945030
237,0.9012979269
238,0.9405474663
239,0.9563984871
240,0.9308366776
241,0.9057239294
242,0.9904123545
243,0.9037543535
244,0.8330103755
245,0.9396660328
246,0.9275313616
247,0.9373247027
248,0.9608699083
249,0.9423364401
250,0.9053543806
251,0.9162203670
252,0.9385029078
253,0.9414948225
254,0.9450678825
255,0.9008077383
256,0.9370279312
257,0.9467822909
258,0.9700212479
259,0.9405929446
260,1.0156599283
261,0.9372965097
262,0.9008524418
263,0.8984833956
264,0.9180184603
265,0.9526784420
266,0.9687759876
267,0.9655256271
268,0.9378744960
269,0.9629682302
270,0.9460034370
271,0.9807123542
272,0.9484258890
273,0.9658765197
274,0.9287939072
275,0.8984040022
276,0.9250925779
277,0.9430410862
278,0.9157686234
279,0.9799269438
280,0.9494012594
281,0.9349266887
282,0.9437014461
283,0.9660490751
284,0.9205295444
285,0.9357735515
286,0.9888913035
287,0.8929560184
288,0.9216581583
289,0.9721228480
290,0.9263601303
291,0.9163780212
292,0.9789892435
293,0.9493706226
294,0.9586890936
295,0.9438362122
296,0.9610744715
297,1.0245274305
298,0.9687136412
299,0.9712869525
300,0.9743184447
301,0.9721896648
302,0.9655919075
303,0.9715266228
304,0.9573425055
305,0.9216477871
306,0.9590398073
307,0.9572677612
308,0.9597924948
309,0.9668645263
310,0.9528133869
311,0.9510082006
312,0.8938645720
313,1.0015699863
314,0.9289340973
315,0.9044395685
316,0.9585993290
317,0.9253736734
318,0.9962596893
319,0.9525082111
320,0.9625096321
321,0.9063463211
322,0.9488851428
323,0.9542057514
324,0.9152107239
325,0.9396197796
326,0.9062016010
327,0.9313391447
328,0.9847798347
329,0.9804662466
330,0.9060529470
331,1.0019415617
332,0.9665333629
333,0.9164216518
334,0.9418243170
335,0.9267048836
336,1.0000481606
337,0.9402638674
338,0.9171091914
339,0.9049686790
340,0.9169837832
341,0.9264451861
342,0.9860361814
343,0.9550949931
344,0.9063462615
345,0.9559763670
346,0.9383680224
347,0.9394954443
348,0.9562933445
349,0.9823451042
350,0.9757193923
351,0.9316136241
352,0.9021632075
353,0.9149827361
